STATION,DATE,Max - EXITS                                                               ,
,10/03/2019,231513,
,10/04/2019,233772,
ALABAMA AV,09/28/2019,6664010,
,09/29/2019,6664936,
,09/30/2019,6666387,
,10/01/2019,6667805,
,10/02/2019,6669504,
,10/03/2019,6671103,
,10/04/2019,6672842,
ALLERTON AV,09/28/2019,3510766,
,09/29/2019,3511177,
,09/30/2019,3511950,
,10/01/2019,3512803,
,10/02/2019,3513696,
,10/03/2019,3514673,
,10/04/2019,3515613,
AQUEDUCT N.COND,09/28/2019,17014193,
,09/29/2019,17014743,
,09/30/2019,17015522,
,10/01/2019,17016282,
,10/02/2019,17017105,
,10/03/2019,17017868,
,10/04/2019,17018804,
AQUEDUCT RACETR,09/28/2019,16925842,
,09/29/2019,16925898,
,09/30/2019,16925956,
,10/01/2019,16926016,
,10/02/2019,16926078,
,10/03/2019,16926141,
,10/04/2019,16926221,
ASTOR PL,09/28/2019,11417605,
,09/29/2019,11420821,
,09/30/2019,11425246,
,10/01/2019,11429762,
,10/02/2019,11434166,
,10/03/2019,11438574,
,10/04/2019,11443242,
ASTORIA DITMARS,09/28/2019,13568772,
,09/29/2019,13570950,
,09/30/2019,13574297,
,10/01/2019,13577861,
,10/02/2019,13581690,
,10/03/2019,13585728,
,10/04/2019,13589686,
ATL AV-BARCLAY,09/28/2019,134263112,
,09/29/2019,134263112,
,09/30/2019,134263112,
,10/01/2019,134263112,
,10/02/2019,134263112,
,10/03/2019,134263112,
,10/04/2019,134263112,
ATLANTIC AV,09/28/2019,939811,
,09/29/2019,939900,
,09/30/2019,940281,
,10/01/2019,940604,
,10/02/2019,941020,
,10/03/2019,941476,
,10/04/2019,941880,
AVENUE H,09/28/2019,562425,
,09/29/2019,562837,
,09/30/2019,563353,
,10/01/2019,563870,
,10/02/2019,564871,
,10/03/2019,565873,
,10/04/2019,566599,
AVENUE I,09/28/2019,995540216,
,09/29/2019,995540093,
,09/30/2019,995539931,
,10/01/2019,995539789,
,10/02/2019,995539649,
,10/03/2019,995539369,
,10/04/2019,995539113,
AVENUE J,09/28/2019,7820513,
,09/29/2019,7820964,
,09/30/2019,7821467,
,10/01/2019,7821834,
,10/02/2019,7822467,
,10/03/2019,7823107,
,10/04/2019,7823720,
AVENUE M,09/28/2019,1585589,
,09/29/2019,1586046,
,09/30/2019,1586496,
,10/01/2019,1586845,
,10/02/2019,1587393,
,10/03/2019,1587958,
,10/04/2019,1588522,
AVENUE N,09/28/2019,3347853,
,09/29/2019,3347991,
,09/30/2019,3348146,
,10/01/2019,3348284,
,10/02/2019,3348594,
,10/03/2019,3348875,
,10/04/2019,3349154,
AVENUE P,09/28/2019,5004450,
,09/29/2019,5004625,
,09/30/2019,5004840,
,10/01/2019,5005084,
,10/02/2019,5005396,
,10/03/2019,5005776,
,10/04/2019,5006145,
AVENUE U,09/28/2019,687888747,
,09/29/2019,687888868,
,09/30/2019,687889069,
,10/01/2019,687889276,
,10/02/2019,687889554,
,10/03/2019,687889842,
,10/04/2019,687890110,
AVENUE X,09/28/2019,8044463,
,09/29/2019,8044901,
,09/30/2019,8045668,
,10/01/2019,8046514,
,10/02/2019,8047616,
,10/03/2019,8048713,
,10/04/2019,8049680,
B'WAY-LAFAYETTE,09/28/2019,1544057837,
,09/29/2019,1544057837,
,09/30/2019,1544057837,
,10/01/2019,1544057837,
,10/02/2019,1544057837,
,10/03/2019,1544057837,
,10/04/2019,1544057837,
BAY 50 ST,09/28/2019,6906178,
,09/29/2019,6906300,
,09/30/2019,6906456,
,10/01/2019,6906683,
,10/02/2019,6907210,
,10/03/2019,6907698,
,10/04/2019,6908056,
BAY PKWY,09/28/2019,1556066894,
,09/29/2019,1556066843,
,09/30/2019,1556066816,
,10/01/2019,1556066771,
,10/02/2019,1556066727,
,10/03/2019,1556066673,
,10/04/2019,1556066636,
BAY RIDGE AV,09/28/2019,4968234,
,09/29/2019,4968540,
,09/30/2019,4969020,
,10/01/2019,4969515,
,10/02/2019,4970047,
,10/03/2019,4970632,
